epochs,Clean training ACC,Poisoned training ACC,Poisoned training ASR,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
1,,,,6056,,,,,,
25,,,,,100.0,0.73,100.0,14.91,,
200,,,,,,,,,0.9531,0.10644444444444444
