epochs,Clean training ACC,Poisoned training ACC,Poisoned training ASR,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
10,0.73475,,,,,,,,,
10,,0.688125,0.0,,,,,,,
5,,,,65635,,,,,,
25,,,,,100.0,1.2,98.8,0.0,,
10,,,,,,,,,0.715,0.01625
10,0.977125,,,,,,,,,
10,,0.960375,1.0,,,,,,,
5,,,,110656,,,,,,
25,,,,,100.0,0.0,100.0,0.0,,
10,,,,,,,,,0.977125,0.0
