epochs,Clean training ACC,Poisoned training ACC,Poisoned training ASR,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
1,,0.465,0.058,,,,,,,
200,,0.8937,0.023,,,,,,,
10,,,,21,,,,,,
10,,,,,0.014,0.012096774193548387,0.274,0.3064516129032258,,
200,,,,,,,,,0.8987,0.017
